graph_mode,window,model,experiment,test_MSE,test_RMSE,test_MAE,test_IC,test_DailyIC,test_ICIR,test_DirAcc,test_IC_ind,test_DailyIC_ind,test_ICIR_ind,strategy_n,strategy_total_return,strategy_cagr,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_hit_rate,strategy_max_drawdown,excess_total_return,excess_annual_return,excess_sharpe,benchmark_total_return,benchmark_sharpe,alignment_start,alignment_end
static,long,baseline_linear,static/long/baseline_linear,0.0031013169791549444,0.05568946919440824,0.03585320711135864,0.03957250503623795,0.03464051317545244,0.36600409396564,0.5092169543151797,,,,58,0.24395867737215648,0.20887975564516936,0.2368049700194488,0.30542517191877927,0.7753289243704563,0.5862068965517241,-0.2228659742413709,0.06158462282267774,0.042831073428355904,0.15003309078062388,0.18237405454947875,0.6252958335898324,2024-07-04,2025-09-04
static,long,baseline_lstm,static/long/baseline_lstm,0.0031186827460761716,0.05584516761615253,0.03607246793343327,0.07043108346151042,0.05946210603084348,0.5951013202142205,0.522571256840973,,,,58,0.3809034557600184,0.3237229204024512,0.331471947503501,0.31785872763525846,1.0428278939185325,0.5862068965517241,-0.21833859967829106,0.19852940121053964,0.1374980509124081,0.41753206032870005,0.18237405454947875,0.6252958335898324,2024-07-04,2025-09-04
static,long,baseline_xgboost,static/long/baseline_xgboost,0.0030932300724089146,0.05561681465536222,0.0358106829226017,0.08563011866001238,0.08283342355014942,0.7541450286986539,0.5321474893459329,,,,58,0.4835877804051758,0.40885177930706296,0.3977584636007468,0.32662986675582834,1.2177651344360698,0.6206896551724138,-0.22954582124696932,0.30121372585569706,0.2037845670096539,0.5924693008462374,0.18237405454947875,0.6252958335898324,2024-07-04,2025-09-04
static,long,mlp,static/long/mlp,0.006153549067676067,0.07844456047219633,0.06434011459350586,0.08541288209877748,0.0844805891995798,0.8355204592318135,0.4388707366784619,0.08409091805722642,0.08298414890758436,0.8600049226093968,58,0.4907994036100385,0.4148008557097258,0.3945946581558333,0.3030709294168988,1.301987818214779,0.6551724137931034,-0.21734888539366093,0.30842534906055974,0.20062076156474037,0.6766919846249466,0.18237405454947875,0.6252958335898324,2024-07-04,2025-09-04
static,long,gat_universe,static/long/gat_universe,0.017510423436760902,0.13232695657635637,0.11755125969648361,0.08207129694725174,0.08113437040748525,0.8813307120813381,0.5698739588841135,0.08160072769784679,0.08033720985524917,0.9103492508880997,58,0.43689887310729714,0.37024410688975573,0.36055690059538703,0.29687389751880644,1.2145119648740639,0.6551724137931034,-0.22252674931046657,0.2545248185578184,0.16658300400429413,0.5892161312842314,0.18237405454947875,0.6252958335898324,2024-07-04,2025-09-04
static,long,gat_industry,static/long/gat_industry,0.005251145455986261,0.07246478769710335,0.04954696074128151,0.08269015235928744,0.08194062762875126,0.8222218357677915,0.5583273453635037,0.08289954453550728,0.08210339414385988,0.9007173753368206,58,0.5049240056129927,0.4264417448926039,0.4005707585064148,0.29496817273738596,1.358013492740616,0.6896551724137931,-0.21679854790112152,0.3225499510635139,0.20659686191532192,0.7327176591507836,0.18237405454947875,0.6252958335898324,2024-07-04,2025-09-04
static,long,gat_two_graph_no_neutral,static/long/gat_two_graph_no_neutral,0.004951204173266888,0.0703647935637339,0.05103987082839012,0.08935146677238902,0.08044488083744318,0.6969373656342657,0.5697700167663154,0.08692555321405515,0.07933824607378165,0.7590124459725823,58,0.44415182116486007,0.37625232200295544,0.37441494274073567,0.3278325326229886,1.1420920911815589,0.5689655172413793,-0.22906741987678936,0.2617777666153813,0.18044104614964276,0.5167962575917264,0.18237405454947875,0.6252958335898324,2024-07-04,2025-09-04
static,long,dmfm_ind_neutral,static/long/dmfm_ind_neutral,0.005105227697640657,0.07145087611527698,0.0463743694126606,0.08251641441989607,0.08144509064631582,0.7796842408026127,0.5407204544530159,0.08285397432467084,0.08175022248641675,0.8524242007576464,58,0.43611264215522905,0.36959256852926936,0.363328461635633,0.3083898000917259,1.1781468178505465,0.6379310344827587,-0.23296268433980927,0.2537385876057503,0.16935456504454008,0.5528509842607141,0.18237405454947875,0.6252958335898324,2024-07-04,2025-09-04
static,long,dmfm_full,static/long/dmfm_full,0.01818814128637314,0.13486341715370087,0.09052751958370209,0.07612677555346299,0.07537191915674868,0.9285306621987794,0.5290427834795302,0.07522883306791384,0.07450871321842695,0.9785140428747217,58,0.5432329720720892,0.45794274929463286,0.4182338104992784,0.28060116813607694,1.4904920506120516,0.6379310344827587,-0.20402496670690773,0.36085891752261046,0.22425991390818548,0.8651962170222192,0.18237405454947875,0.6252958335898324,2024-07-04,2025-09-04
dynamic,long,mlp,dynamic/long/mlp,0.010151959955692291,0.10075693502529884,0.06840205937623978,0.07501838170429455,0.07409301843240482,0.8715436864380804,0.5035950415090588,0.07379367229472196,0.07298288377404828,0.9110052205800653,58,0.45445973856205324,0.384784424966804,0.3700665138603654,0.2931260998623548,1.2624823038076103,0.6551724137931034,-0.2121029401202711,0.2720856840125745,0.17609261726927247,0.6371864702177779,0.18237405454947875,0.6252958335898324,2024-07-04,2025-09-04
dynamic,long,gat_universe,dynamic/long/gat_universe,0.0031824749894440174,0.056413429158703135,0.03638174384832382,0.0955445625920323,0.09094668957875297,0.8223844764590721,0.5357673865788128,0.09416890298216396,0.08979001923855147,0.8756648740631536,58,0.4726616213628456,0.39983124620794563,0.385411473248728,0.30912680831346356,1.2467746662007702,0.6551724137931034,-0.23228722476928798,0.29028756681336687,0.19143757665763508,0.6214788326109377,0.18237405454947875,0.6252958335898324,2024-07-04,2025-09-04
dynamic,long,gat_industry,dynamic/long/gat_industry,0.0043775774538517,0.06616326362757281,0.04463156312704086,0.08111657567973943,0.07998849536704586,0.8099147242641594,0.49632813170822093,0.08001464869639392,0.07928303572244517,0.8845857990370496,58,0.47228582726880197,0.3995208385198219,0.3808589575185986,0.29455172486965203,1.2930121447672396,0.6724137931034483,-0.2095652787721266,0.2899117727193232,0.1868850609275057,0.6677163111774072,0.18237405454947875,0.6252958335898324,2024-07-04,2025-09-04
dynamic,long,gat_two_graph_no_neutral,dynamic/long/gat_two_graph_no_neutral,0.015280268155038357,0.12361338177979905,0.10752854496240616,0.07689397634245362,0.07506860067835852,0.8434876037063461,0.43829679541931604,0.0762947639228398,0.0749369310091826,0.9426603941942037,58,0.5159346496836514,0.4355063122345373,0.40679486706363166,0.2951090159004899,1.3784562488622918,0.6896551724137931,-0.21342775092667166,0.3335605951341727,0.21282097047253876,0.7531604152724594,0.18237405454947875,0.6252958335898324,2024-07-04,2025-09-04
dynamic,long,dmfm_ind_neutral,dynamic/long/dmfm_ind_neutral,0.005616752430796623,0.07494499603573693,0.04969364404678345,0.08506612621869859,0.08485243496309466,0.9116809950192835,0.5478653452460039,0.08382919862201117,0.08355501423751137,0.9623075054540089,58,0.4808527238118112,0.40659456181947395,0.38342971552468447,0.28471390766269505,1.3467193038526928,0.6724137931034483,-0.21631013725963122,0.29847866926233246,0.18945581893359156,0.7214234702628604,0.18237405454947875,0.6252958335898324,2024-07-04,2025-09-04
dynamic,long,dmfm_full,dynamic/long/dmfm_full,0.0051724789664149284,0.07191994832044117,0.05191824957728386,0.08828420282633978,0.08181338258621562,0.7065287311983747,0.5701767467924818,0.08790276784173358,0.08194808473373273,0.7936417832542307,58,0.48248956794684994,0.4079455000619643,0.3985006732613266,0.3313975889147499,1.2024851314287581,0.6206896551724138,-0.2307776665902339,0.3001155133973712,0.2045267766702337,0.5771892978389257,0.18237405454947875,0.6252958335898324,2024-07-04,2025-09-04
